transaction_id,date,amount,account_code,department_id
30aeba87-3d42-4dec-83be-de4be759c3f0,2026-02-23,4307.18,2100,14
b6567976-07aa-410e-8107-e0d51974cfa0,2026-02-23,52723.95,5000,10
53227b00-3be5-4d7c-9532-c6db0d1b52a5,2025-08-06,5421.31,4100,2
674a9fc2-2ca8-4b08-9430-d16befebd02a,2025-09-14,39445.61,2200,11
c5a5f080-b79b-41f7-8d77-e577775547b1,2025-07-14,51313.38,4100,4
c9fa8f1d-ce7b-4e5a-9051-2154b8dffcfa,2025-09-09,44405.16,2200,3
2617b020-ee15-49c5-933d-e1a60c17506f,2025-10-21,51109.4,2100,5
d59c0af7-5c46-4139-a4ab-684596369f15,2026-01-21,34382.25,5000,13
284d4027-c4b5-40a7-90d0-7480a6d59de5,2025-08-22,28311.89,2200,10
3ec0d75f-f121-446d-ac78-6c581033f803,2025-10-04,69309.17,1000,3
dd66825f-c9ea-42bf-a03d-52ac67ab7849,2025-12-22,11977.17,2100,6
f68951d4-bac9-4bba-8850-060a5543fb3b,2026-02-19,61609.82,2200,5
971e5379-fc6b-4cc0-80cb-8f4cec53b930,2025-07-10,50007.14,2200,9
b93076dd-40f6-486e-93e6-517463c400dc,2026-02-28,73924.03,5000,10
a121963d-e5dd-475f-882f-92c0846e6179,2026-02-17,40541.39,4100,8
5894275a-ccd9-4694-a8e7-093dee33851a,2025-09-14,52390.16,4100,5
8280c269-c95c-4b61-a3ff-f7b66e175363,2025-07-01,10285.27,2100,7
92dd7e23-c0b8-4791-a198-ee0fc5c26dc2,2026-02-25,27910.41,1000,13
7f146681-ff9c-475a-9bce-7682665b57de,2025-09-08,10215.14,2100,9
8c2ff68e-58ab-4d63-b655-3897ef93051a,2026-03-09,73797.27,4100,12
9db325c1-7279-42c7-8696-7fa5dc0b626b,2026-04-09,4518.08,1000,11
5bb9cbb1-ab10-4fc4-99ab-e15bca5af407,2025-06-08,65377.81,4100,8
b9316270-ecc1-41e2-b0d2-47f7ba7ddee5,2026-01-23,18846.69,5000,12
65e928fe-53aa-4f27-ac1d-90834b51c38e,2025-11-25,12910.62,1000,5
8d13f78b-822e-4ba4-89f7-12e436e452b3,2025-12-23,15158.48,3100,15
7c67293e-4b4c-4e0b-8031-87be67896502,2025-09-24,74435.11,1000,15
519b86f8-97f3-449f-80da-b3975da93ee7,2025-05-04,67715.87,4100,12
3930773b-64d7-4db6-8b92-440f85b6adfd,2025-05-18,15996.47,2200,10
8138d610-4d7b-4d4e-b69f-41652699ecb9,2025-07-20,65861.75,2200,2
45033387-193f-4120-ac32-71fe4fcd5a12,2025-08-31,20150.59,1000,3
fadba824-065a-4b19-9c51-89d46cf7af8b,2025-09-01,37519.58,4100,8
5fc9fc46-872d-431e-af48-8f05fdae81f3,2025-05-09,15004.81,1000,5
857f9188-9b10-4a3e-8ef5-8ce4f8114883,2025-11-04,51759.69,2200,15
30ffe995-9773-4d88-b2f6-d950a61d42f2,2025-04-26,42163.43,2200,2
a7616ee1-1457-4473-8934-76c77ce5d540,2025-05-30,2652.51,4100,14
1184056c-a2ca-4372-82a3-9eb72d0d5b97,2025-04-26,69468.28,3100,13
a95ffd08-0846-43ab-924d-1e8c3285f4c5,2025-09-18,66967.79,3100,8
c6190518-a9ce-4b1a-9a70-a7dd0fa49509,2026-03-05,18974.49,2100,14
9ca937c4-6f75-409a-9487-afa706f33876,2025-11-25,16476.46,2200,1
aee568fb-d0e9-44fa-a5c1-1d8724e5ea99,2025-05-11,9554.8,3100,14
58c64576-89e4-4143-bf99-a7dbef074e67,2025-10-22,72798.94,2100,7
3b1f42c2-0945-4ca2-a434-32cd1b3ef5f2,2025-06-13,36734.06,1000,7
85e88ddf-3b5e-4430-93d8-6a4d0a2db99c,2025-05-10,58794.08,1000,11
382c162a-b165-4c18-9997-c0160729ac0d,2025-09-12,34288.92,1000,6
